﻿FID;Nombre Estación;Troncal Estación;coord_x;coord_y;geopoint
131;Alquería;G;-74.13526545343007;4.5944151815090635;4.59441518151, -74.1352654534
53;Gobernación;K;-74.0958880392076;4.641739967309487;4.64173996731, -74.0958880392
27;Avenida 68;D;-74.08021456560863;4.685353655356988;4.68535365536, -74.0802145656
120;Restrepo;H;-74.10145733525435;4.581784792454397;4.58178479245, -74.1014573353
98;Avenida Jiménez;H;-74.08045139565351;4.602780856985129;4.60278085699, -74.0804513957
64;Calle 57;A;-74.06585026795862;4.642864927697148;4.6428649277, -74.065850268
143;San Victorino;L;-74.07735056131138;4.601037592907489;4.60103759291, -74.0773505613
34;Calle 100;B;-74.05769074087557;4.683997184430054;4.68399718443, -74.0576907409
109;Parque Renacimiento;K;-74.07742755501606;4.621874479471304;4.62187447947, -74.077427555
43;Gratamira;C;-74.07475995028769;4.725928055545674;4.72592805555, -74.0747599503
3;LEON XIII;G;-74.19366652006873;4.591904305416211;4.59190430542, -74.1936665201
20;Héroes;B;-74.06040921450354;4.667760105463301;4.66776010546, -74.0604092145
132;General Santander;G;-74.12829651839027;4.59347553948191;4.59347553948, -74.1282965184
54;Quinta Paredes;K;-74.09252637273451;4.636561552274602;4.63656155227, -74.0925263727
147;Terminal;B;-74.04358437469648;4.76874264500875;4.76874264501, -74.0435843747
111;Socorro;H;-74.12529675799234;4.564120037597395;4.5641200376, -74.125296758
125;Ciudad Jardín;L;-74.09002264946007;4.581945560552626;4.58194556055, -74.0900226495
65;Calle 63;A;-74.0648722424644;4.648359750993784;4.64835975099, -74.0648722425
122;Country Sur;L;-74.09859397145588;4.571352253588881;4.57135225359, -74.0985939715
104;San Diego;L;-74.07177078012865;4.610333566462084;4.61033356646, -74.0717707801
49;Cardio Infantil;B;-74.04796099910006;4.742024770356958;4.74202477036, -74.0479609991
56;Ciudad Universitaria;K;-74.08367948174552;4.631062129795196;4.6310621298, -74.0836794817
